[I 250623 14:08:46 websocket:47] WebSocket opened
[I 250623 14:22:26 websocket:49] WebSocket opened
[I 250623 14:22:37 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13308906, 'exchange_timestamp': 1750668756000, 'last_traded_price': 5608085, 'subscription_mode_val': 'LTP'}
[I 250623 14:22:37 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13309364, 'exchange_timestamp': 1750668757000, 'last_traded_price': 5608085, 'subscription_mode_val': 'LTP'}
[I 250623 14:22:38 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13309641, 'exchange_timestamp': 1750668757000, 'last_traded_price': 5608195, 'subscription_mode_val': 'LTP'}
[I 250623 14:22:38 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13310100, 'exchange_timestamp': 1750668758000, 'last_traded_price': 5608195, 'subscription_mode_val': 'LTP'}
[I 250623 14:22:39 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13310326, 'exchange_timestamp': 1750668758000, 'last_traded_price': 5608125, 'subscription_mode_val': 'LTP'}
[I 250623 14:22:39 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13310677, 'exchange_timestamp': 1750668759000, 'last_traded_price': 5607760, 'subscription_mode_val': 'LTP'}
[I 250623 14:22:40 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13310902, 'exchange_timestamp': 1750668759000, 'last_traded_price': 5608350, 'subscription_mode_val': 'LTP'}
[I 250623 14:22:40 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13311362, 'exchange_timestamp': 1750668760000, 'last_traded_price': 5608235, 'subscription_mode_val': 'LTP'}
[I 250623 14:22:41 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13311587, 'exchange_timestamp': 1750668760000, 'last_traded_price': 5608180, 'subscription_mode_val': 'LTP'}
[I 250623 14:22:41 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13312044, 'exchange_timestamp': 1750668761000, 'last_traded_price': 5608425, 'subscription_mode_val': 'LTP'}
[I 250623 14:22:42 websocket:38] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26009', 'sequence_number': 13312256, 'exchange_timestamp': 1750668761000, 'last_traded_price': 5608245, 'subscription_mode_val': 'LTP'}
